Day 70,WAX_wane,NOT USED,NOT USED,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Total
A,wane,,1,4,5,6,3,4,1,5,4,32
B,wane,,6,4,2,8,5,2,3,6,2,32
AB,wane,,,8,7,14,8,6,4,11,6,64
,wane,,,,,,,,,,,
C,wane,,2,7,5,4,5,2,2,2,5,32
D,wane,,5,4,5,2,5,3,3,3,7,32
CD,wane,,,11,10,6,10,5,5,5,12,64
,wane,,,,,,,,,,,
E,wane,,3,2,3,6,6,4,3,4,4,32
F,wane,,8,3,5,3,3,4,6,4,4,32
EF,wane,,,5,8,9,9,8,9,8,8,64
,wane,,,,,,,,,,,
G,wane,,4,5,2,1,2,8,8,3,3,32
H,wane,,7,3,5,2,3,5,6,5,3,32
GH,wane,,,8,7,3,5,13,14,8,6,64
